NAME,RA,DEC,PMRA,PMDEC,EPOCH,RESOLUTION,SUBSURVEY,TEMPLATE,RULESET,EXTENT_FLAG,EXTENT_PARAMER,EXTENT_INDEX,MAG_TYPE,MAG,MAG_ERR,DATE_EARLIEST,DATE_LATEST,CADENCE,REDDENING,REDSHIFT_ESTIMATE,REDSHIFT_ERROR,TEMPLATE_REDSHIFT,CAL_MAG_BLUE,CAL_MAG_GREEN,CAL_MAG_RED,CAL_ERR_BLUE,CAL_ERR_GREEN,CAL_ERR_RED,CAL_ID_BLUE,CAL_ID_GREEN,CAL_ID_RED,CLASSIFICATION,COMPLETENESS,PARALLAX
b'i06n05s4300BN3',206.94662744324896,-5.746890919698399,-100.283,92.958,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,12.94632144165039,0.0008357961,0,0,0,0.12048386758373629,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,7.8374
b'i06n05s4300D66',207.93927296902692,-5.686659148730069,-15.827,-5.07,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,15.17249666595459,0.002868717,0,0,0,0.011709677355904733,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,0.1052
b'i06n03s2400YL4',181.4066476016421,-2.471146134320272,-26.959,5.966,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,13.225247779846192,0.0008831744,0,0,0,0.002548386973719443,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,1.1932
b'i06n03s24011JR',181.47224393274888,-2.392106686167661,-1.183,-0.273,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,13.641764373779296,0.0010667893,0,0,0,0.012580645420858936,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,1.1776
b'i06n03s2401ALZ',181.5771843470781,-2.155665252300749,-18.486,-5.059,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,13.448224784851076,0.00096756534,0,0,0,0.00038709679257965856,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,1.2939
b'i06n03s2401BT4',181.6244870183486,-2.1378299658313047,-2.283,-3.23,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,13.138097526550292,0.0008341554,0,0,0,0.15293548184056435,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,0.2861
b'i06n03s2401F0J',181.68578915837716,-2.043085521222458,-18.939,-2.051,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,14.985460739135744,0.0021010444,0,0,0,0.03409677455502171,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,0.6429
b'i06n07s1500OZ8',169.9557761925154,-7.94834947420959,-9.294,-1.076,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,14.86266278076172,0.002047048,0,0,0,0.022387095997410435,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,0.1377
b'i06n07s15010VI',170.19743237053592,-7.505974976623847,-19.712,1.886,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,13.17819165802002,0.0014731932,0,0,0,0.028677419308693178,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,0.4109
b'i06n03s2400IG0',181.60361720761557,-2.90540413371132,-26.587,-23.287,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,15.3366233291626,0.0024538892,0,0,0,0.023387096101237882,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,0.9044
b'i06n07s3800NI1',200.9467921564641,-8.020661218294958,-10.527,-1.818,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,15.421682556152344,0.0026505694,0,0,0,0.12316128899974207,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,0.1009
b'i06n07s4000FB1',203.9280398887076,-8.389733810767055,-0.76,1.246,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,15.284918922424318,0.0026913476,0,0,0,0.01874193549156189,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,0.0983
b'i06n05s04011RU',154.5059690648844,-4.986038694314519,-6.133,0.794,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,12.341158615112306,0.0006159266,0,0,0,0.042709679372849,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,0.7938
b'i06n05s0700Z9C',158.86601161228666,-5.094034473094443,3.133,-10.251,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,14.74621647644043,0.0022832323,0,0,0,0.006548387389029226,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,0.1225
b'i06n05s0800PQH',159.77980402441955,-5.194323949468272,-2.205,0.641,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,11.831360382080078,0.0005089844,0,0,0,0.14867742215433427,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,1.0668
b'i06n05s14008WS',167.43525650204472,-5.86440222111091,-1.974,-6.087,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,15.24454012298584,0.0026230398,0,0,0,0.04532257876088542,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,0.1926
b'i06n05s43001QB',206.62026454985653,-6.085849259454631,9.161,-8.829,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,14.843197608947754,0.0023904848,0,0,0,0.0051612905677287805,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,0.5412
b'i06n05s43001UB',206.70608107824523,-6.081381219781187,-5.884,-2.08,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,15.129578086853028,0.0027550648,0,0,0,0.04419354661818473,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,0.7902
b'i06n05s4300302',206.8354188012891,-6.043717080403918,-9.228,0.888,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,13.74722184753418,0.0012861548,0,0,0,0.00035483870775468885,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,1.064
b'i06n05s43004T3',206.6779346998058,-5.986422771992634,-11.72,1.359,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,13.208638496398926,0.0009854981,0,0,0,0.02441935481563691,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,3.2217
b'i06n05s43005AJ',206.96156367966665,-5.9611674221479705,-20.451,-6.797,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,13.980997650146485,0.0014199405,0,0,0,0.00038709679257965856,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,0.9761
